# Photometry of EPIC-211799258
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 9.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2457139.610631,107552,4853.048642,10.107667,4913.411231,4912.431152,False,False,False,False
2457139.631063,107553,4841.250490,11.695345,4896.600469,4894.294035,False,False,False,False
2457139.651495,107554,4869.086030,9.647056,4920.992311,4917.364580,False,False,False,False
2457139.671927,107555,4850.625694,11.207619,4898.810529,4893.866606,False,False,False,False
2457139.692359,107556,4867.224240,10.173446,4913.339220,4907.084278,False,False,False,False
2457139.712791,107557,4858.234106,10.928107,4902.316577,4894.755874,False,False,False,False
2457139.733223,107558,4876.825314,10.665962,4916.656960,4907.795794,False,False,False,False
2457139.753655,107559,4873.423478,10.197131,4913.141265,4902.985022,False,False,False,False
2457139.774087,107560,4907.437434,10.207345,4943.755799,4932.309912,False,False,False,False
2457139.794519,107561,4884.587990,9.670063,4916.596027,4903.865991,False,False,False,False
2457139.814951,107562,4900.874674,9.438406,4929.560301,4915.551694,False,False,False,False
2457139.835383,107563,4887.356996,10.350352,4912.972045,4897.690486,False,False,False,False
2457139.855816,107564,4895.425348,10.760973,4919.770256,4903.221426,False,False,False,False
2457139.876248,107565,4911.739381,9.010062,4933.526939,4915.716599,False,False,False,False
2457139.896680,107566,4915.869291,9.130484,4934.849166,4915.783117,False,False,False,False
